epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,5798.37,0.59533,0.93097,0.89704,0.75541,0.70444,0.74781,0.64096,0.52324,0.75062,0.82686,0.000105915,0.000105915,0.000105915
107,5852.69,0.61011,0.93541,0.90106,0.71682,0.7311,0.74752,0.64579,0.51816,0.75852,0.82643,0.000103638,0.000103638,0.000103638
108,5906.82,0.60121,0.94104,0.90126,0.7556,0.71417,0.74533,0.64258,0.51926,0.74816,0.82867,0.000101361,0.000101361,0.000101361
109,5960.78,0.6032,0.93739,0.90689,0.72099,0.74547,0.74832,0.6446,0.52392,0.74709,0.82944,9.9084e-05,9.9084e-05,9.9084e-05
110,6015.11,0.59122,0.93892,0.89741,0.74965,0.72115,0.75014,0.64847,0.51795,0.73419,0.82827,9.6807e-05,9.6807e-05,9.6807e-05
111,6069.21,0.59197,0.93659,0.89229,0.73074,0.73476,0.74658,0.64526,0.51317,0.73647,0.82686,9.453e-05,9.453e-05,9.453e-05
112,6123.68,0.59823,0.94402,0.89646,0.69947,0.74478,0.7384,0.64371,0.50974,0.75777,0.82702,9.2253e-05,9.2253e-05,9.2253e-05
113,6177.98,0.59975,0.92008,0.9032,0.73324,0.73836,0.75205,0.65506,0.52074,0.74497,0.82722,8.9976e-05,8.9976e-05,8.9976e-05
114,6232.13,0.59016,0.93039,0.9025,0.74499,0.71779,0.74694,0.64376,0.52184,0.74075,0.82929,8.7699e-05,8.7699e-05,8.7699e-05
115,6286.17,0.60447,0.92554,0.90327,0.75946,0.71339,0.74856,0.64692,0.5155,0.73729,0.82756,8.5422e-05,8.5422e-05,8.5422e-05
116,6340.32,0.60337,0.92103,0.90214,0.71381,0.75574,0.74288,0.64228,0.52827,0.75891,0.82967,8.3145e-05,8.3145e-05,8.3145e-05
117,6394.39,0.59603,0.91093,0.90232,0.72241,0.74019,0.75326,0.65187,0.51201,0.74112,0.8267,8.0868e-05,8.0868e-05,8.0868e-05
118,6448.55,0.58907,0.9019,0.90293,0.73628,0.74788,0.74871,0.64678,0.51655,0.73313,0.82669,7.8591e-05,7.8591e-05,7.8591e-05
119,6502.68,0.58229,0.91344,0.89961,0.75883,0.71676,0.7541,0.65206,0.52002,0.71958,0.82759,7.6314e-05,7.6314e-05,7.6314e-05
120,6556.57,0.58767,0.89851,0.89741,0.75135,0.72341,0.75042,0.64721,0.5137,0.73111,0.82701,7.4037e-05,7.4037e-05,7.4037e-05
121,6610.44,0.58655,0.90065,0.90033,0.76983,0.70223,0.74734,0.64394,0.52057,0.7447,0.82815,7.176e-05,7.176e-05,7.176e-05
122,6665.17,0.58399,0.90007,0.89719,0.71919,0.73531,0.75012,0.64708,0.51903,0.72885,0.82927,6.9483e-05,6.9483e-05,6.9483e-05
123,6719.47,0.596,0.9017,0.8973,0.72415,0.75312,0.75211,0.64791,0.51747,0.72764,0.82774,6.7206e-05,6.7206e-05,6.7206e-05
124,6774.1,0.59104,0.89089,0.90424,0.69654,0.76344,0.75248,0.64926,0.519,0.7243,0.82891,6.4929e-05,6.4929e-05,6.4929e-05
